"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"15494","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18387/2025-2026/220114","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030)","Elected MP","18-Nov-2025","PRASHANSA CONSTRUCTION COMPANY","Payment Success","671726"
"15495","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18387/2025-2026/220095","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030)","Elected MP","24-Nov-2025","PRASHANSA CONSTRUCTION COMPANY","Payment Success","673948"
"15496","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18387/2025-2026/196019","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030)","Elected MP","19-Nov-2025","PRASHANSA CONSTRUCTION COMPANY","Payment Success","670480"
"15497","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18387/2025-2026/220118","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030)","Elected MP","19-Nov-2025","PRASHANSA CONSTRUCTION COMPANY","Payment Success","671658"
"15498","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18387/2025-2026/182597","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030)","Elected MP","20-Sep-2025","PRASHANSA CONSTRUCTION COMPANY","Payment Success","203813"
"15499","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18387/2025-2026/196018","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030)","Elected MP","06-Sep-2025","PRASHANSA CONSTRUCTION COMPANY","Payment Success","671457"
"15500","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18387/2025-2026/196009","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030)","Elected MP","06-Sep-2025","PRASHANSA CONSTRUCTION COMPANY","Payment Success","671591"
"15501","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18387/2025-2026/195998","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030)","Elected MP","06-Sep-2025","PRASHANSA CONSTRUCTION COMPANY","Payment Success","671524"
"15502","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18387/2025-2026/182627","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030)","Elected MP","09-Oct-2025","PRASHANSA CONSTRUCTION COMPANY","Payment Success","251336"
"15503","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18387/2025-2026/182624","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030)","Elected MP","09-Oct-2025","PRASHANSA CONSTRUCTION COMPANY","Payment Success","238850"
"15504","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18387/2025-2026/182597","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030)","Elected MP","08-Jul-2025","PRASHANSA CONSTRUCTION COMPANY","Payment Success","609084"
"15505","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18387/2025-2026/182624","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030)","Elected MP","08-Jul-2025","PRASHANSA CONSTRUCTION COMPANY","Payment Success","618902"
"15506","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18387/2025-2026/182627","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030)","Elected MP","22-Jul-2025","PRASHANSA CONSTRUCTION COMPANY","Payment Success","646461"
"15507","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18387/2025-2026/195993","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030)","Elected MP","12-Sep-2025","PRASHANSA CONSTRUCTION COMPANY","Payment Success","672904"
"15508","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18387/2025-2026/195985","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030)","Elected MP","12-Sep-2025","PRASHANSA CONSTRUCTION COMPANY","Payment Success","671793"
"15509","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18387/2025-2026/232680","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030)","Elected MP","09-Feb-2026","PRASHANSA CONSTRUCTION COMPANY","Payment Success","224453"
"15510","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18387/2025-2026/220104","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030)","Elected MP","09-Feb-2026","PRASHANSA CONSTRUCTION COMPANY","Payment Success","224497"
"15511","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18387/2025-2026/220114","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030)","Elected MP","22-Dec-2025","PRASHANSA CONSTRUCTION COMPANY","Payment Success","224834"
"15512","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18387/2025-2026/220118","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030)","Elected MP","22-Dec-2025","PRASHANSA CONSTRUCTION COMPANY","Payment Success","225654"
"15513","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18387/2025-2026/220082","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030)","Elected MP","22-Dec-2025","PRASHANSA CONSTRUCTION COMPANY","Payment Success","223886"
"15514","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18387/2025-2026/220120","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030)","Elected MP","22-Dec-2025","PRASHANSA CONSTRUCTION COMPANY","Payment Success","222101"
"15515","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18387/2025-2026/220108","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030)","Elected MP","22-Dec-2025","PRASHANSA CONSTRUCTION COMPANY","Payment Success","222979"
"15516","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18387/2025-2026/220095","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030)","Elected MP","22-Dec-2025","PRASHANSA CONSTRUCTION COMPANY","Payment Success","224344"
"15517","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18387/2025-2026/220116","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030)","Elected MP","22-Dec-2025","PRASHANSA CONSTRUCTION COMPANY","Payment Success","223886"
"15518","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18387/2025-2026/196019","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030)","Elected MP","12-Jan-2026","PRASHANSA CONSTRUCTION COMPANY","Payment Success","223871"
"15519","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18387/2025-2026/220104","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030)","Elected MP","12-Jan-2026","PRASHANSA CONSTRUCTION COMPANY","Payment Success","671726"
"15520","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18387/2025-2026/232680","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030)","Elected MP","12-Jan-2026","PRASHANSA CONSTRUCTION COMPANY","Payment Success","671591"
"15521","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18387/2025-2026/246708","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030)","Elected MP","26-Feb-2026","PRASHANSA CONSTRUCTION COMPANY","Payment Success","224231"
"15522","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18387/2025-2026/220083","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030)","Elected MP","26-Feb-2026","PRASHANSA CONSTRUCTION COMPANY","Payment Success","250925"
"15523","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18387/2025-2026/220087","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030)","Elected MP","28-Jan-2026","PRASHANSA CONSTRUCTION COMPANY","Payment Success","232158"
"15524","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18387/2025-2026/220106","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030)","Elected MP","28-Jan-2026","PRASHANSA CONSTRUCTION COMPANY","Payment Success","224807"
"15525","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18387/2025-2026/220083","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030)","Elected MP","03-Feb-2026","PRASHANSA CONSTRUCTION COMPANY","Payment Success","646848"
"15526","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18387/2025-2026/246708","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030)","Elected MP","03-Feb-2026","PRASHANSA CONSTRUCTION COMPANY","Payment Success","671591"
"15527","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18387/2025-2026/220088","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030)","Elected MP","26-Dec-2025","PRASHANSA CONSTRUCTION COMPANY","Payment Success","222762"
"15528","Tamil Nadu","Setting up of laboratories","WS/MP18435/2025-2026/252929","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Smt. Rajathi (2025-31) (2025-2031)","Elected MP","10-Feb-2026","FMD INDUSTRIES","Payment Success","625000"
"15529","Tamil Nadu","Setting up of laboratories","WS/MP18435/2025-2026/252930","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Smt. Rajathi (2025-31) (2025-2031)","Elected MP","10-Feb-2026","FMD INDUSTRIES","Payment Success","625000"
"15530","Tamil Nadu","Purchase of sports equipment","WS/MP18437/2026-2027/255199","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Shri S.R. Sivalingam (2025-31) (2025-2031)","Elected MP","20-May-2026","FMD INDUSTRIES","Payment Success","500000"
"15531","Tamil Nadu","Purchase of sports equipment","WS/MP18437/2026-2027/255200","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Shri S.R. Sivalingam (2025-31) (2025-2031)","Elected MP","20-May-2026","FMD INDUSTRIES","Payment Success","500000"
"15532","Tamil Nadu","Purchase of sports equipment","WS/MP18437/2026-2027/255201","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Shri S.R. Sivalingam (2025-31) (2025-2031)","Elected MP","20-May-2026","FMD INDUSTRIES","Payment Success","500000"
"15533","Tamil Nadu","Purchase of sports equipment","WS/MP18437/2026-2027/255202","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Shri S.R. Sivalingam (2025-31) (2025-2031)","Elected MP","20-May-2026","FMD INDUSTRIES","Payment Success","500000"
"15534","Tamil Nadu","Purchase of sports equipment","WS/MP18437/2026-2027/255203","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Shri S.R. Sivalingam (2025-31) (2025-2031)","Elected MP","20-May-2026","FMD INDUSTRIES","Payment Success","500000"
"15535","Punjab","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP844/2023-2024/6219","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","08-May-2024","Bansal Construction Co","Payment Success","3706542"
"15536","Punjab","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP844/2023-2024/6219","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","01-Aug-2024","Bansal Construction Co","Payment Success","50321"
"15537","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2023-2024/21206","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","25-Oct-2024","vikram construction","Payment Success","213375"
"15538","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2023-2024/21208","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","25-Oct-2024","vikram construction","Payment Success","189555"
"15539","Madhya Pradesh","Providing drains and gutters for public drainage","WS/MP106/2023-2024/21212","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","09-May-2024","vikram construction","Payment Success","160000"
"15540","Bihar","Construction of common work sheds/ common covered sitting area","WS/MP18300/2025-2026/134641","JAMUI(DISTRICT PLANNING OFFICER JAMUI_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","10-Nov-2025","ASSISTANT ENGINEER AC JAMUI LAEO WD 01 JAMUI","Payment Success","283114"
"15541","Bihar","Construction of common work sheds/ common covered sitting area","WS/MP18300/2025-2026/134642","JAMUI(DISTRICT PLANNING OFFICER JAMUI_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","08-Dec-2025","ASSISTANT ENGINEER AC JAMUI LAEO WD 01 JAMUI","Payment Success","516349"
"15542","Uttar Pradesh","Lighting of public spaces","WS/MP019/2023-2024/48569","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","18-Sep-2024","RAJESH KUMAR MEHTA","Payment Success","514507"
"15543","Uttar Pradesh","Lighting of public spaces","WS/MP019/2025-2026/248825","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","06-May-2026","RAJESH KUMAR MEHTA","Payment Success","350530"
"15544","Uttar Pradesh","Lighting of public spaces","WS/MP019/2025-2026/248824","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","06-May-2026","RAJESH KUMAR MEHTA","Payment Success","350229"
"15545","Uttar Pradesh","Lighting of public spaces","WS/MP019/2025-2026/248822","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","06-May-2026","RAJESH KUMAR MEHTA","Payment Success","350530"
"15546","Uttar Pradesh","Lighting of public spaces","WS/MP019/2025-2026/248820","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","06-May-2026","RAJESH KUMAR MEHTA","Payment Success","350781"
"15547","Uttar Pradesh","Lighting of public spaces","WS/MP019/2025-2026/248819","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","06-May-2026","RAJESH KUMAR MEHTA","Payment Success","350381"
"15548","Uttar Pradesh","Lighting of public spaces","WS/MP019/2025-2026/248821","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","06-May-2026","RAJESH KUMAR MEHTA","Payment Success","350229"
"15549","Uttar Pradesh","Lighting of public spaces","WS/MP019/2025-2026/248823","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","25-Jun-2026","RAJESH KUMAR MEHTA","Payment Success","121133"
"15550","Uttar Pradesh","Lighting of public spaces","WS/MP019/2025-2026/248821","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","25-Jun-2026","RAJESH KUMAR MEHTA","Payment Success","121639"
"15551","Uttar Pradesh","Lighting of public spaces","WS/MP019/2025-2026/248824","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","25-Jun-2026","RAJESH KUMAR MEHTA","Payment Success","121092"
"15552","Uttar Pradesh","Lighting of public spaces","WS/MP019/2025-2026/248822","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","25-Jun-2026","RAJESH KUMAR MEHTA","Payment Success","121804"
"15553","Uttar Pradesh","Lighting of public spaces","WS/MP019/2025-2026/248820","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","25-Jun-2026","RAJESH KUMAR MEHTA","Payment Success","121133"
"15554","Uttar Pradesh","Lighting of public spaces","WS/MP019/2025-2026/248825","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","25-Jun-2026","RAJESH KUMAR MEHTA","Payment Success","121805"
"15555","Uttar Pradesh","Lighting of public spaces","WS/MP019/2025-2026/248819","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","25-Jun-2026","RAJESH KUMAR MEHTA","Payment Success","121636"
"15556","Uttar Pradesh","Lighting of public spaces","WS/MP019/2025-2026/248818","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","25-Jun-2026","RAJESH KUMAR MEHTA","Payment Success","121636"
"15557","Uttar Pradesh","Lighting of public spaces","WS/MP019/2024-2025/164996","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","18-Jun-2025","RAJESH KUMAR MEHTA","Payment Success","316540"
"15558","Uttar Pradesh","Lighting of public spaces","WS/MP019/2024-2025/164996","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","18-Oct-2025","RAJESH KUMAR MEHTA","Payment Success","154503"
"15559","Uttar Pradesh","Lighting of public spaces","WS/MP019/2024-2025/164993","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","18-Oct-2025","RAJESH KUMAR MEHTA","Payment Success","154762"
"15560","Uttar Pradesh","Lighting of public spaces","WS/MP019/2024-2025/164995","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","08-Jul-2025","RAJESH KUMAR MEHTA","Payment Success","316455"
"15561","Uttar Pradesh","Lighting of public spaces","WS/MP019/2024-2025/164997","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","08-Jul-2025","RAJESH KUMAR MEHTA","Payment Success","316540"
"15562","Uttar Pradesh","Lighting of public spaces","WS/MP019/2024-2025/164994","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","08-Jul-2025","RAJESH KUMAR MEHTA","Payment Success","254966"
"15563","Uttar Pradesh","Lighting of public spaces","WS/MP019/2024-2025/164998","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","21-Jan-2026","RAJESH KUMAR MEHTA","Payment Success","155007"
"15564","Uttar Pradesh","Lighting of public spaces","WS/MP019/2024-2025/164997","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","21-Jan-2026","RAJESH KUMAR MEHTA","Payment Success","154746"
"15565","Uttar Pradesh","Lighting of public spaces","WS/MP019/2024-2025/164995","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","21-Jan-2026","RAJESH KUMAR MEHTA","Payment Success","154929"
"15566","Uttar Pradesh","Lighting of public spaces","WS/MP019/2024-2025/164994","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","21-Jan-2026","RAJESH KUMAR MEHTA","Payment Success","216670"
"15567","Uttar Pradesh","Lighting of public spaces","WS/MP019/2025-2026/248823","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","28-Mar-2026","RAJESH KUMAR MEHTA","Payment Success","350781"
"15568","Uttar Pradesh","Lighting of public spaces","WS/MP019/2025-2026/248818","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","28-Mar-2026","RAJESH KUMAR MEHTA","Payment Success","350381"
"15569","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP019/2023-2024/49053","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","06-Jun-2024","RAJESH KUMAR MEHTA","Payment Success","407193"
"15570","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP019/2023-2024/49053","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","06-Jun-2024","RAJESH KUMAR MEHTA","Payment Success","99410"
"15571","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP019/2023-2024/49053","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","04-Jul-2024","RAJESH KUMAR MEHTA","Payment Success","176025"
"15572","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP019/2023-2024/49053","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","04-Jul-2024","RAJESH KUMAR MEHTA","Payment Success","60880"
"15573","Uttar Pradesh","Lighting of public spaces","WS/MP019/2023-2024/48569","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","21-Jan-2025","RAJESH KUMAR MEHTA","Payment Success","177449"
"15574","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP019/2023-2024/49053","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","09-Nov-2024","RAJESH KUMAR MEHTA","Payment Success","159581"
"15575","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP019/2023-2024/49053","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","09-Nov-2024","RAJESH KUMAR MEHTA","Payment Success","61221"
"15576","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP019/2023-2024/47559","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","18-Jun-2026","RAJESH KUMAR MEHTA","Payment Success","222572"
"15577","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP019/2023-2024/47559","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","18-Jun-2026","RAJESH KUMAR MEHTA","Payment Success","143908"
"15578","Uttar Pradesh","Lighting of public spaces","WS/MP019/2023-2024/47031","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","27-Sep-2025","RAJESH KUMAR MEHTA","Payment Success","157108"
"15579","Uttar Pradesh","Lighting of public spaces","WS/MP019/2023-2024/47031","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","08-Oct-2024","RAJESH KUMAR MEHTA","Payment Success","511268"
"15580","Uttarakhand","Construction of community centers and community halls","WS/MP850/2024-2025/147843","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","16-May-2026","BDO OKHALKANDA","Payment Success","21185"
