"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"4253","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18407/2025-2026/232194","GOPALGANJ(DISTRICT PLANNING OFFICER GOPALGANJ_IDA)","Shri Manan Kumar Mishra (2024-28) (2024-2028)","Elected MP","06-Feb-2026","PAWAN KUMAR PANDEY","Payment Success","1473890"
"4254","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2024-2025/169592","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","13-Feb-2026","Mahaveer Youth Club Khagal","Payment Success","173655"
"4255","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2024-2025/169592","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","13-Feb-2026","Chirag Sharma","Payment Success","1000"
"4256","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP042/2025-2026/238867","SAHARSA(DISTRICT PLANNING OFFICER SAHARSA_IDA)","Prof. Manoj Kumar Jha (2024-30) (2024-2030)","Elected MP","17-Feb-2026","PREM SHANKAR KUMAR BHARTI AE LAEO WORKS DIVISION SAHARSA","Payment Success","1495034"
"4257","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP095/2025-2026/243539","ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA)","Shri A. A. Rahim (2022-28) (2022-2028)","Elected MP","10-Feb-2026","LENNY ANTONY","Payment Success","5446952"
"4258","West Bengal","Construction of rooms and halls in school and colleges","WS/MP18383/2025-2026/162628","Paschim Medinipur(DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","03-Feb-2026","M S ROUTH ENTERPRISE","Payment Success","1039669"
"4259","Madhya Pradesh","Installation of fixed garden gym equipment","WS/MP18284/2024-2025/163464","KAITHAL(DC CUM NODAL OFFICERS MPLADS)","Shri Ashok Singh (2024-30) (2024-2030)","Elected MP","17-Mar-2026","THE MEET COOPERATIVE LABOUR AND CONSTRUCTION SOCIETY LTD SAJUMA","Payment Success","280139"
"4260","Madhya Pradesh","Installation of fixed garden gym equipment","WS/MP18284/2024-2025/163461","KAITHAL(DC CUM NODAL OFFICERS MPLADS)","Shri Ashok Singh (2024-30) (2024-2030)","Elected MP","17-Mar-2026","THE MEET COOPERATIVE LABOUR AND CONSTRUCTION SOCIETY LTD SAJUMA","Payment Success","281888"
"4261","Rajasthan","Construction of additional rooms and halls in the existing public and community building","WS/MP148/2024-2025/158709","KAITHAL(DC CUM NODAL OFFICERS MPLADS)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","29-Jan-2026","THE MEET COOPERATIVE LABOUR AND CONSTRUCTION SOCIETY LTD SAJUMA","Payment Success","794402"
"4262","Rajasthan","Construction of additional rooms and halls in the existing public and community building","WS/MP148/2024-2025/158710","KAITHAL(DC CUM NODAL OFFICERS MPLADS)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","30-Jan-2026","THE MEET COOPERATIVE LABOUR AND CONSTRUCTION SOCIETY LTD SAJUMA","Payment Success","338615"
"4263","Rajasthan","Construction of public toilets and bathrooms","WS/MP146/2024-2025/159913","KAITHAL(DC CUM NODAL OFFICERS MPLADS)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","21-Feb-2026","THE MEET COOPERATIVE LABOUR AND CONSTRUCTION SOCIETY LTD SAJUMA","Payment Success","496607"
"4264","Rajasthan","Construction of community centers and community halls","WS/MP148/2024-2025/158702","KAITHAL(DC CUM NODAL OFFICERS MPLADS)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","21-Feb-2026","THE MEET COOPERATIVE LABOUR AND CONSTRUCTION SOCIETY LTD SAJUMA","Payment Success","500000"
"4265","Karnataka","Construction of community centers and community halls","WS/MP086/2025-2026/166595","KAITHAL(DC CUM NODAL OFFICERS MPLADS)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","21-Feb-2026","THE MEET COOPERATIVE LABOUR AND CONSTRUCTION SOCIETY LTD SAJUMA","Payment Success","500000"
