"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"40949","Odisha","Construction of community centers and community halls","WS/MP370/2024-2025/145561","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Shri Jual Oram","SUNDARGARH (ST)","09-Sep-2025","Bharat Sahu","Payment Success","231644"
"40950","Odisha","Construction of community centers and community halls","WS/MP370/2024-2025/145561","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Shri Jual Oram","SUNDARGARH (ST)","19-Feb-2026","Bharat Sahu","Payment Success","140339"
"40951","Andhra Pradesh","Installing tube-wells and borewells","WS/MP524/2024-2025/157651","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Midhun Reddy","RAJAMPET","20-May-2025","KETHAMREDDY SANTHISWARUP REDDY","Payment Success","89342"
"40952","Andhra Pradesh","Purchase of mobile water tankers","WS/MP524/2024-2025/157649","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Midhun Reddy","RAJAMPET","20-May-2025","KETHAMREDDY SANTHISWARUP REDDY","Payment Success","83205"
"40953","Jammu And Kashmir","Construction of community centers and community halls","WS/MP600/2024-2025/159680","DODA(Deputy Commissioner Doda_IDA)","Jitendra Singh","UDHAMPUR","09-Jun-2025","Vijay Kumar","Payment Success","546000"
"40954","West Bengal","Installing community drinking water plants","WS/MP485/2024-2025/134826","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","JOYNAGAR(SC)","21-May-2025","Muskan Construction","Payment Success","312408"
"40955","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP465/2025-2026/196761","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","19-May-2025","AMAR SHAHEED GULAB SINGH LODHI SHIKSHA SAMITI","Payment Success","300000"
"40956","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP465/2025-2026/196761","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","08-Sep-2025","AMAR SHAHEED GULAB SINGH LODHI SHIKSHA SAMITI","Payment Success","200000"
"40957","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18210/2025-2026/176164","CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA)","VIRENDRA SINGH","CHANDAULI","25-Aug-2025","Siddharth Construction and suppliers","Payment Success","279826"
"40958","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18210/2025-2026/176164","CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA)","VIRENDRA SINGH","CHANDAULI","25-Aug-2025","Siddharth Construction and suppliers","Payment Success","385926"
"40959","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18210/2025-2026/176164","CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA)","VIRENDRA SINGH","CHANDAULI","26-Aug-2025","Siddharth Construction and suppliers","Payment Success","347110"
"40960","Uttar Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP18210/2025-2026/170256","CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA)","VIRENDRA SINGH","CHANDAULI","08-Aug-2025","Siddharth Construction and suppliers","Payment Success","598842"
"40961","Uttar Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP18210/2025-2026/170256","CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA)","VIRENDRA SINGH","CHANDAULI","04-Oct-2025","Siddharth Construction and suppliers","Payment Success","399248"
"40962","Uttar Pradesh","Construction of footpaths and pedestrian ways","WS/MP18210/2026-2027/271350","CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA)","VIRENDRA SINGH","CHANDAULI","26-Jul-2026","Siddharth Construction and suppliers","Payment Success","598020"
"40963","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18210/2025-2026/176164","CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA)","VIRENDRA SINGH","CHANDAULI","18-Jun-2025","Siddharth Construction and suppliers","Payment Success","581000"
"40964","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18210/2025-2026/176164","CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA)","VIRENDRA SINGH","CHANDAULI","02-Jun-2025","Siddharth Construction and suppliers","Payment Success","525158"
"40965","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18210/2025-2026/176164","CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA)","VIRENDRA SINGH","CHANDAULI","02-Jun-2025","Siddharth Construction and suppliers","Payment Success","420557"
"40966","Punjab","Construction of rooms and halls in school and colleges","WS/MP18311/2024-2025/142735","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","16-Feb-2026","Sekhon Cement and Shuttering Store Purkhali","Payment Success","17500"
"40967","Punjab","Construction of buildings for community cultural activities","WS/MP18311/2024-2025/142734","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","30-Jun-2025","Sekhon Cement and Shuttering Store Purkhali","Payment Success","14000"
"40968","Punjab","Construction of buildings for community cultural activities","WS/MP18311/2024-2025/142734","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","30-Jun-2025","Sekhon Cement and Shuttering Store Purkhali","Payment Success","45486"
"40969","Punjab","Construction of buildings for community cultural activities","WS/MP18311/2024-2025/142734","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","30-Jun-2025","Sekhon Cement and Shuttering Store Purkhali","Payment Success","14874"
"40970","Punjab","Construction of buildings for community cultural activities","WS/MP18311/2024-2025/142734","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","30-Jun-2025","Sekhon Cement and Shuttering Store Purkhali","Payment Success","18000"
"40971","Punjab","Construction of buildings for community cultural activities","WS/MP18311/2024-2025/142734","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","30-Jun-2025","Dhaman Bricks Traders Bagwali","Payment Success","26800"
