"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"25103","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18098/2025-2026/235723","SEONI(District Collector Seoni_IDA)","BHARTI PARDHI","BALAGHAT","16-Mar-2026","JITENDRA SINGH RAJPUT","Payment Success","193200"
"25104","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18098/2025-2026/235723","SEONI(District Collector Seoni_IDA)","BHARTI PARDHI","BALAGHAT","16-Mar-2026","JITENDRA SINGH RAJPUT","Payment Success","205275"
"25105","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18098/2025-2026/235723","SEONI(District Collector Seoni_IDA)","BHARTI PARDHI","BALAGHAT","16-Mar-2026","JITENDRA SINGH RAJPUT","Payment Success","145318"
"25106","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18098/2025-2026/235723","SEONI(District Collector Seoni_IDA)","BHARTI PARDHI","BALAGHAT","16-Mar-2026","JITENDRA SINGH RAJPUT","Payment Success","181125"
"25107","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18098/2025-2026/235723","SEONI(District Collector Seoni_IDA)","BHARTI PARDHI","BALAGHAT","16-Mar-2026","JITENDRA SINGH RAJPUT","Payment Success","190785"
"25108","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18098/2025-2026/235723","SEONI(District Collector Seoni_IDA)","BHARTI PARDHI","BALAGHAT","16-Mar-2026","JITENDRA SINGH RAJPUT","Payment Success","162540"
"25109","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18098/2025-2026/235723","SEONI(District Collector Seoni_IDA)","BHARTI PARDHI","BALAGHAT","16-Mar-2026","JITENDRA SINGH RAJPUT","Payment Success","79800"
"25110","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18098/2025-2026/235723","SEONI(District Collector Seoni_IDA)","BHARTI PARDHI","BALAGHAT","16-Mar-2026","JITENDRA SINGH RAJPUT","Payment Success","70875"
"25111","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18098/2025-2026/235723","SEONI(District Collector Seoni_IDA)","BHARTI PARDHI","BALAGHAT","16-Mar-2026","JITENDRA SINGH RAJPUT","Payment Success","117410"
"25112","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18157/2025-2026/188698","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","31-Oct-2025","SAT PARKASH AND CO","Payment Success","2750"
"25113","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18098/2025-2026/235723","SEONI(District Collector Seoni_IDA)","BHARTI PARDHI","BALAGHAT","16-Mar-2026","JEEVIKA TRADERS","Payment Success","152880"
"25114","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18098/2025-2026/235723","SEONI(District Collector Seoni_IDA)","BHARTI PARDHI","BALAGHAT","16-Mar-2026","JEEVIKA TRADERS","Payment Success","188160"
"25115","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18098/2025-2026/235723","SEONI(District Collector Seoni_IDA)","BHARTI PARDHI","BALAGHAT","16-Mar-2026","JEEVIKA TRADERS","Payment Success","179340"
"25116","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18098/2025-2026/235723","SEONI(District Collector Seoni_IDA)","BHARTI PARDHI","BALAGHAT","16-Mar-2026","JEEVIKA TRADERS","Payment Success","185220"
"25117","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18098/2025-2026/235723","SEONI(District Collector Seoni_IDA)","BHARTI PARDHI","BALAGHAT","16-Mar-2026","JEEVIKA TRADERS","Payment Success","15859"
"25118","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18098/2025-2026/235723","SEONI(District Collector Seoni_IDA)","BHARTI PARDHI","BALAGHAT","16-Mar-2026","JEEVIKA TRADERS","Payment Success","73500"
"25119","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18098/2025-2026/235723","SEONI(District Collector Seoni_IDA)","BHARTI PARDHI","BALAGHAT","16-Mar-2026","JEEVIKA TRADERS","Payment Success","10007"
"25120","Madhya Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP18105/2025-2026/232218","SEONI(District Collector Seoni_IDA)","ASHISH DUBEY","JABALPUR","05-Jan-2026","JEEVIKA TRADERS","Payment Success","29400"
"25121","Madhya Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP18105/2025-2026/232218","SEONI(District Collector Seoni_IDA)","ASHISH DUBEY","JABALPUR","05-Jan-2026","JEEVIKA TRADERS","Payment Success","59850"
"25122","Madhya Pradesh","Providing drains and gutters for public drainage","WS/MP18105/2025-2026/232220","SEONI(District Collector Seoni_IDA)","ASHISH DUBEY","JABALPUR","06-Jan-2026","JEEVIKA TRADERS","Payment Success","19231"
"25123","Madhya Pradesh","Providing drains and gutters for public drainage","WS/MP18105/2025-2026/232220","SEONI(District Collector Seoni_IDA)","ASHISH DUBEY","JABALPUR","06-Jan-2026","JEEVIKA TRADERS","Payment Success","44100"
"25124","Madhya Pradesh","Providing drains and gutters for public drainage","WS/MP18105/2025-2026/232220","SEONI(District Collector Seoni_IDA)","ASHISH DUBEY","JABALPUR","06-Jan-2026","JEEVIKA TRADERS","Payment Success","72450"
"25125","Madhya Pradesh","Development of playfields and sports grounds","WS/MP18105/2025-2026/232219","SEONI(District Collector Seoni_IDA)","ASHISH DUBEY","JABALPUR","06-Aug-2026","BAINGANGA BRICKS INDUSRIES","Payment Success","277830"
"25126","Madhya Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP18105/2025-2026/232218","SEONI(District Collector Seoni_IDA)","ASHISH DUBEY","JABALPUR","05-Jan-2026","BAINGANGA BRICKS INDUSRIES","Payment Success","138600"
"25127","Punjab","Construction of toilet blocks","WS/MP18158/2025-2026/205040","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","24-Oct-2025","SURJIT SINGH","Payment Success","23000"
"25128","Punjab","Construction of stadiums","WS/MP18155/2025-2026/227264","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","19-Nov-2025","AAMYRA TRADERS","Payment Success","229871"
"25129","Punjab","Construction of stadiums","WS/MP18155/2025-2026/227264","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","28-Oct-2025","AAMYRA TRADERS","Payment Success","270129"
"25130","Punjab","Development of playfields and sports grounds","WS/MP18311/2025-2026/234428","Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida)","MALVINDER SINGH KANG","ANANDPUR SAHIB","26-Dec-2025","AAMYRA TRADERS","Payment Success","500000"
"25131","Madhya Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP18105/2025-2026/232218","SEONI(District Collector Seoni_IDA)","ASHISH DUBEY","JABALPUR","05-Jan-2026","QAUDRI FEBRICATION","Payment Success","49969"
"25132","Madhya Pradesh","Development of playfields and sports grounds","WS/MP18105/2025-2026/232219","SEONI(District Collector Seoni_IDA)","ASHISH DUBEY","JABALPUR","06-Aug-2026","QAUDRI FEBRICATION","Payment Success","222085"
"25133","Karnataka","Construction of community centers and community halls","WS/MP18076/2025-2026/206937","Bengaluru South(DEPUTY COMMISSIONER RAMANAGARA_IDA)","DR C N MANJUNATH","BANGALORE RURAL","20-Feb-2026","NAGARAJU B","Payment Success","99578"
"25134","Karnataka","Construction of community centers and community halls","WS/MP18076/2025-2026/206937","Bengaluru South(DEPUTY COMMISSIONER RAMANAGARA_IDA)","DR C N MANJUNATH","BANGALORE RURAL","27-Oct-2025","NAGARAJU B","Payment Success","300000"
"25135","Assam","Construction of community centers and community halls","WS/MP541/2025-2026/161288","MARIGAON(District Development Commissioner Morigaon)","Pradyut Bordoloi","NOWGONG","12-Dec-2025","Manuj Kumar Brahma","Payment Success","85750"
"25136","Karnataka","Construction of community centers and community halls","WS/MP618/2024-2025/156406","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Parvatagouda Chandanagouda Gaddigoudar","BAGALKOT","27-Oct-2025","SANGAMESH PARAPPA GANI","Payment Success","374705"
"25137","Karnataka","Construction of community centers and community halls","WS/MP618/2025-2026/212472","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Parvatagouda Chandanagouda Gaddigoudar","BAGALKOT","18-Jun-2026","SANGAMESH PARAPPA GANI","Payment Success","375000"
"25138","Karnataka","Construction of community centers and community halls","WS/MP618/2025-2026/212472","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Parvatagouda Chandanagouda Gaddigoudar","BAGALKOT","10-Aug-2026","SANGAMESH PARAPPA GANI","Payment Success","124974"
"25139","Karnataka","Construction of community centers and community halls","WS/MP618/2024-2025/156406","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Parvatagouda Chandanagouda Gaddigoudar","BAGALKOT","09-Mar-2026","SANGAMESH PARAPPA GANI","Payment Success","125115"
"25140","Karnataka","Construction of community centers and community halls","WS/MP618/2024-2025/156180","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Parvatagouda Chandanagouda Gaddigoudar","BAGALKOT","27-Oct-2025","HANAMANT WADDAR","Payment Success","124587"
"25141","Andhra Pradesh","Street lights","WS/MP529/2025-2026/223123","Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA)","Maddila Gurumoorthy","TIRUPATI(SC)","20-Nov-2025","SYED KARIMULLA","Payment Success","497329"
"25142","Andhra Pradesh","Street lights","WS/MP529/2025-2026/223124","Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA)","Maddila Gurumoorthy","TIRUPATI(SC)","27-Oct-2025","SYED KARIMULLA","Payment Success","497449"
"25143","Andhra Pradesh","Street lights","WS/MP529/2025-2026/166050","Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA)","Maddila Gurumoorthy","TIRUPATI(SC)","24-Oct-2025","V PRASAD","Payment Success","190163"
"25144","Andhra Pradesh","Street lights","WS/MP529/2024-2025/161680","Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA)","Maddila Gurumoorthy","TIRUPATI(SC)","17-Mar-2026","GOWNIPURAM VISALI","Payment Success","129616"
"25145","Andhra Pradesh","Street lights","WS/MP529/2024-2025/161678","Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA)","Maddila Gurumoorthy","TIRUPATI(SC)","17-Mar-2026","VADAMALAPETA DILLIMMA","Payment Success","86411"
"25146","Andhra Pradesh","Street lights","WS/MP529/2024-2025/161683","Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA)","Maddila Gurumoorthy","TIRUPATI(SC)","17-Mar-2026","KALURI HEMAKUMAR","Payment Success","86411"
"25147","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18393/2025-2026/152027","SIDDIPET(District Collector Siddipet_IDA)","MADHAVANENI RAGHUNANDAN RAO","MEDAK","28-Oct-2025","Srinivas Reddy Gadila","Payment Success","499887"
"25148","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18393/2025-2026/152028","SIDDIPET(District Collector Siddipet_IDA)","MADHAVANENI RAGHUNANDAN RAO","MEDAK","28-Oct-2025","Srinivas Reddy Gadila","Payment Success","499847"
"25149","Tamil Nadu","Construction of water tanks","WS/MP18174/2025-2026/184728","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","GANAPATHY RAJKUMAR P","COIMBATORE","05-Nov-2025","K Selvaraj","Payment Success","1299965"
"25150","Andhra Pradesh","Purchase of hospital equipment","WS/MP18351/2024-2025/161803","Nandyal(DISTRICT COLLECTOR NANDYAL_IDA)","DR BYREDDY SHABARI","NANDYAL","02-Dec-2025","Siva Health Care","Payment Success","498400"
"25151","Andhra Pradesh","Purchase of hospital equipment","WS/MP18351/2024-2025/161802","Nandyal(DISTRICT COLLECTOR NANDYAL_IDA)","DR BYREDDY SHABARI","NANDYAL","02-Dec-2025","Siva Health Care","Payment Success","499360"
"25152","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18182/2025-2026/202649","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","05-Nov-2025","PANDIARAJAN","Payment Success","999621"
"25153","Punjab","Establishing public lift irrigation projects","WS/MP716/2025-2026/231414","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","05-Dec-2025","Bhandari Engineering Corp","Payment Success","150000"
"25154","Punjab","Establishing public lift irrigation projects","WS/MP716/2025-2026/232931","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","02-Mar-2026","Bhandari Engineering Corp","Payment Success","59590"
"25155","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18188/2025-2026/184562","VIKARABAD(DISTRICT COLLECTOR VIKARABAD_2)","KONDA VISHWESHWAR REDDY","CHELVELLA","25-Oct-2025","R Mallaiah","Payment Success","125000"
"25156","Odisha","Construction of boundary walls of existing public and community buildings","WS/MP18147/2025-2026/232497","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","NABA CHARAN MAJHI","MAYURBHANJ (ST)","05-Mar-2026","MANOJ KUMAR JENA","Payment Success","470219"
"25157","Punjab","Providing supply pipelines for drinking water","WS/MP716/2025-2026/196001","SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","27-Oct-2025","BANSAL TRADING COMPANY","Payment Success","157903"
"25158","Punjab","Providing supply pipelines for drinking water","WS/MP716/2025-2026/196001","SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","27-Oct-2025","BANSAL TRADING COMPANY","Payment Success","42231"
"25159","Punjab","Providing supply pipelines for drinking water","WS/MP716/2025-2026/196001","SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","03-Feb-2026","BANSAL TRADING COMPANY","Payment Success","171124"
"25160","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP18184/2025-2026/163648","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","THANGA TAMILSELVAN","THENI","27-Oct-2025","KARTHIKA M","Payment Success","998525"
"25161","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18267/2025-2026/243764","KRISHNAGIRI(DISTRICT COLLECTOR KRISHNAGIRI_IDA)","GOPINATH K","KRISHNAGIRI","15-Dec-2025","syed Jameel","Payment Success","968576"
"25162","Odisha","Construction of boundary walls of existing public and community buildings","WS/MP18147/2025-2026/232497","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","NABA CHARAN MAJHI","MAYURBHANJ (ST)","05-Mar-2026","MP LAD BDO KUSUMI","Payment Success","10525"
"25163","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18147/2025-2026/250343","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","NABA CHARAN MAJHI","MAYURBHANJ (ST)","17-Apr-2026","MP LAD BDO KUSUMI","Payment Success","11488"
"25164","Odisha","Construction of community centers and community halls","WS/MP18147/2025-2026/232498","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","NABA CHARAN MAJHI","MAYURBHANJ (ST)","17-Jul-2026","MP LAD BDO KUSUMI","Payment Success","13563"
"25165","Madhya Pradesh","Construction of footpaths and pedestrian ways","WS/MP18109/2025-2026/179958","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","19-May-2026","GRAM PANCHAYAT DEMHA","Payment Success","19021"
"25166","Madhya Pradesh","Construction of footpaths and pedestrian ways","WS/MP18109/2025-2026/179958","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","19-May-2026","GRAM PANCHAYAT DEMHA","Payment Success","18777"
"25167","Madhya Pradesh","Construction of footpaths and pedestrian ways","WS/MP18109/2025-2026/179958","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","19-May-2026","GRAM PANCHAYAT DEMHA","Payment Success","10824"
"25168","Madhya Pradesh","Construction of footpaths and pedestrian ways","WS/MP18109/2025-2026/179958","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","19-May-2026","GRAM PANCHAYAT DEMHA","Payment Success","49942"
"25169","Madhya Pradesh","Construction of footpaths and pedestrian ways","WS/MP18109/2025-2026/179958","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","19-May-2026","GRAM PANCHAYAT DEMHA","Payment Success","44000"
"25170","Madhya Pradesh","Construction of footpaths and pedestrian ways","WS/MP18109/2025-2026/179958","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","19-May-2026","GRAM PANCHAYAT DEMHA","Payment Success","64776"
"25171","Madhya Pradesh","Construction of footpaths and pedestrian ways","WS/MP18109/2025-2026/179958","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","19-May-2026","GRAM PANCHAYAT DEMHA","Payment Success","44200"
"25172","Madhya Pradesh","Construction of footpaths and pedestrian ways","WS/MP18109/2025-2026/179958","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","20-Jan-2026","GRAM PANCHAYAT DEMHA","Payment Success","40000"
"25173","Madhya Pradesh","Construction of footpaths and pedestrian ways","WS/MP18109/2025-2026/179958","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","20-Jan-2026","GRAM PANCHAYAT DEMHA","Payment Success","45500"
"25174","Madhya Pradesh","Construction of footpaths and pedestrian ways","WS/MP18109/2025-2026/179958","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","20-Jan-2026","GRAM PANCHAYAT DEMHA","Payment Success","38500"
"25175","Madhya Pradesh","Construction of footpaths and pedestrian ways","WS/MP18109/2025-2026/179958","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","20-Jan-2026","GRAM PANCHAYAT DEMHA","Payment Success","56000"
"25176","Madhya Pradesh","Construction of footpaths and pedestrian ways","WS/MP18109/2025-2026/179958","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","20-Jan-2026","GRAM PANCHAYAT DEMHA","Payment Success","28000"
"25177","Madhya Pradesh","Construction of footpaths and pedestrian ways","WS/MP18109/2025-2026/179958","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","20-Jan-2026","GRAM PANCHAYAT DEMHA","Payment Success","40460"
"25178","Chhattisgarh","Construction of common work sheds/ common covered sitting area","WS/MP429/2025-2026/239866","Manendragarh-Chirmiri-Bharatpur(M C B)(Collector MCB_IDA)","Jyotsna Charandas Mahant","KORBA","28-Oct-2025","GRAM PANCHAYAT PIPERBAHRA","Payment Success","150000"
"25179","Chhattisgarh","Construction of common work sheds/ common covered sitting area","WS/MP429/2025-2026/239866","Manendragarh-Chirmiri-Bharatpur(M C B)(Collector MCB_IDA)","Jyotsna Charandas Mahant","KORBA","26-Feb-2026","GRAM PANCHAYAT PIPERBAHRA","Payment Success","150000"
"25180","Chhattisgarh","Construction of common work sheds/ common covered sitting area","WS/MP18354/2025-2026/195252","Balrampur-Ramanujganj(District Collector BALRAMPUR_IDA)","CHINTAMANI MAHARAJ","SARGUJA(ST)","30-Oct-2025","gram panchayat shrikot","Payment Success","750000"
"25181","Maharashtra","Construction of rooms and halls in school and colleges","WS/MP18118/2025-2026/166392","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","BHASKAR MURLIDHAR BHAGARE","DINDORI(ST)","01-Nov-2025","ATHARVA NURSING AND PARAMEDICAL COLLEGE","Payment Success","938055"
"25182","Meghalaya","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18309/2025-2026/219535","WEST GARO HILLS(DEPUTY COMMISSIONER WEST GARO HILLS_IDA)","SALENG A SANGMA","TURA","19-Mar-2026","Anupoma M Marak","Payment Success","45000"
"25183","Meghalaya","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18309/2025-2026/219535","WEST GARO HILLS(DEPUTY COMMISSIONER WEST GARO HILLS_IDA)","SALENG A SANGMA","TURA","14-Feb-2026","Anupoma M Marak","Payment Success","105000"
"25184","Meghalaya","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18309/2025-2026/219535","WEST GARO HILLS(DEPUTY COMMISSIONER WEST GARO HILLS_IDA)","SALENG A SANGMA","TURA","11-Dec-2025","Anupoma M Marak","Payment Success","150000"
"25185","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18158/2025-2026/201413","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","29-Oct-2025","mkk iron store","Payment Success","40000"
"25186","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18158/2025-2026/201413","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","29-Oct-2025","mkk iron store","Payment Success","2448"
"25187","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18158/2025-2026/201413","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","29-Oct-2025","mkk iron store","Payment Success","32620"
"25188","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18158/2025-2026/201413","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","29-Oct-2025","ms luxmi bko","Payment Success","48301"
"25189","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18158/2025-2026/201413","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","29-Oct-2025","ms luxmi bko","Payment Success","48301"
"25190","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18328/2025-2026/195272","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","25-Aug-2026","GP Chandyal","Payment Success","10000"
"25191","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18328/2025-2026/195270","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","17-Aug-2026","GP Chandyal","Payment Success","30000"
"25192","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18328/2025-2026/195270","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","28-Oct-2025","GP Chandyal","Payment Success","120000"
"25193","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18328/2025-2026/195271","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","01-Nov-2025","GP Chandyal","Payment Success","40000"
"25194","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18328/2025-2026/195272","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","01-Nov-2025","GP Chandyal","Payment Success","40000"
"25195","Telangana","Construction of common work sheds/ common covered sitting area","WS/MP761/2025-2026/153970","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Arvind Dharmapuri","NIZAMABAD","28-Oct-2025","Boddukuri Jalandhar","Payment Success","268220"
"25196","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/183989","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","28-Oct-2025","Asha Kanwar","Payment Success","4275"
"25197","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/183989","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","28-Oct-2025","Devi Lal Luhar","Payment Success","4275"
"25198","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/183989","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","28-Oct-2025","Kailash Chandra Teli","Payment Success","11250"
"25199","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/183989","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","28-Oct-2025","Kailashi Kanwar","Payment Success","4275"
"25200","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/183989","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","28-Oct-2025","Kamla Devi","Payment Success","4275"
"25201","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/183989","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","28-Oct-2025","Krishna kumari","Payment Success","4275"
"25202","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/183989","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","28-Oct-2025","Mamta Devi","Payment Success","4275"
"25203","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/183989","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","28-Oct-2025","Manju Devi","Payment Success","4275"
"25204","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/183989","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","28-Oct-2025","Movani Bai","Payment Success","4275"
"25205","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/183989","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","28-Oct-2025","Nanee Devi","Payment Success","4275"
"25206","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/183989","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","28-Oct-2025","Sita Devi","Payment Success","4275"
"25207","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/183989","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","28-Oct-2025","Sonu Devi","Payment Success","4275"
